#,증빙서류이름,해당 비목,패키지,세부 정보,관련 서식·시스템
79,현금계상 인건비 관리계획 및 현황,TIPS-내부인건비,TIPS,"TIPS(국가연구개발사업)의 인건비는 실제 급여로 지급하는 '현금 계상', 비영리기관 등이 정부 예산 지원 없이 자체 부담해 인정받는 '현물 계상', 계상은 해두고 실제 지급은 유예하는 '미지급 계상' 세 방식으로 나뉜다. 이 서류는 그중 실제로 현금(급여)으로 지급되는 인건비에 대해 사전에 계상률·집행계획을 관리하는 문서로, 현물이나 미지급으로 계상해 둔 인건비를 나중에 몰래 현금으로 전환해 지급하는 것을 막기 위해 요구된다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
80,국가연구개발사업 현물부담확인서,TIPS-내부인건비,TIPS,정부지원금이 아닌 기관 자체 부담(현물)으로 계상된 인건비 등이 있음을 확인하는 서류다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
81,재학증명서,TIPS-외부인건비,TIPS,다른 대학 소속 학생연구자를 외부인력으로 참여시킬 때 재학 사실을 확인하기 위해 제출받는 서류다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
82,외부참여연구자 소속 기관장 확인서,TIPS-외부인건비,TIPS,외부 소속 연구자가 자신의 소속기관장으로부터 해당 과제 참여를 승인·확인받았다는 서류다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
83,과제참여계약서,TIPS-외부인건비,TIPS,"프리랜서·개인사업자 신분으로 과제에 참여하는 외부인력과 체결하는 계약서로, 근로계약서를 대신한다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
84,연구근접지원인력 현황표,TIPS-연구근접지원인력 인건비,TIPS,비영리기관 연구부서 소속으로 과제 수행을 지원하는 인력(행정·기술지원 등)의 명단과 참여율을 정리한 표다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
85,학생인건비통합관리기관 증빙,TIPS-학생인건비,TIPS,"과학기술정보통신부 장관이 지정한 학생인건비 통합관리기관 소속 대학은 학생인건비를 기관 차원에서 통합 관리·집행하며, 개별 정산 대신 지정 확인 자료와 계좌이체증명 등 간소화된 증빙만 제출한다.",IRIS 연구개발정보포털(iris.go.kr) — 학생인건비 통합관리 서비스
86,학생연구자 연구참여확약서,TIPS-학생인건비,TIPS,"학생연구원이 해당 과제에 실제로 참여함을 스스로 확약하는 서류로, 비통합관리기관 소속 대학의 학생인건비 정산 시 요구된다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
87,카드매출전표,"TIPS-연구시설·장비비, 연구재료비(시약재료), 외부전문기술활용비, 지식재산창출활동비, 연구실운영비, 회의비, 소프트웨어활용비, 종합사업관리비, 간접비(총괄)",TIPS,"연구개발비 전용카드로 결제했을 때 발급되는 매출전표로, 계좌이체증명과 함께 TIPS 등 R&D 과제 대부분의 세목에서 기본 지출 증빙으로 쓰인다.",국세청 홈택스(hometax.go.kr) — 전자세금계산서 조회·매입매출 확인
88,구매의뢰서,"TIPS-연구시설·장비비, 연구재료비(시약재료), 연구실운영비",TIPS,연구자가 필요한 장비·재료·물품의 구매를 소속 기관(산학협력단 등)에 의뢰하는 내부 문서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
89,국가연구시설장비등록증,TIPS-연구시설·장비비,TIPS,"구입한 연구장비를 국가연구시설장비진흥센터(ZEUS 시스템 등)에 등록하고 발급받는 등록증으로, 일정 금액 이상 장비는 등록이 의무다.",국가연구시설장비진흥센터 ZEUS(zeus.go.kr)
90,심의위원회 공문(1억원 이상),TIPS-연구시설·장비비,TIPS,1억원 이상 고가 연구장비를 구입할 때 국가연구시설장비심의위원회(전문기관)의 사전 심의를 거쳤음을 보여주는 공문이다.,국가연구시설장비진흥센터 ZEUS(zeus.go.kr)
91,연구개발과제평가단 심의의견서(3천만원 이상~1억원 미만),TIPS-연구시설·장비비,TIPS,"3천만원 이상 1억원 미만 연구장비 구입 시에는 연구개발과제평가단(전문기관) 심의를 받으며, 그 결과를 정리한 의견서다. 1억원 이상 장비의 국가연구시설장비심의위원회 심의보다 낮은 단계의 절차다.",국가연구시설장비진흥센터 ZEUS(zeus.go.kr)
92,수입신고서류(또는 배달증명),"TIPS-연구시설·장비비, 연구재료비(시약재료)",TIPS,해외에서 장비·재료를 직접 구매(외자구매)한 경우 세관에 제출한 수입신고필증 등 통관 서류다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
93,검수(설치)완료 확인서,"TIPS-연구시설·장비비, 연구재료비(시약재료), 연구재료비(시험제품), 연구실운영비, 소프트웨어활용비",TIPS,구입한 장비·재료·SW가 실제로 검수(설치)까지 완료되었음을 확인하는 서류. 연구개발기간 종료 2개월 전까지 완료되지 않으면 원칙적으로 불인정된다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
94,재료비 소요내역서,TIPS-연구재료비(시험제품·설비 등 제작비),TIPS,시험제품 등을 외주가 아닌 자체(내부) 제작할 때 투입된 재료의 품목·수량·단가를 정리한 내역서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
95,출장신청서,TIPS-연구활동비(출장비),TIPS,"자체 여비규정이 있는 기관에서 출장 전 결재를 받는 신청서로, 규정이 없는 기관은 내부결재문서로 갈음한다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
96,내부결재문서,"TIPS-출장비, 외부전문기술활용비, 지식재산창출활동비, 회의비, 소프트웨어활용비, 연구인력지원비, 해외연구자유치지원비",TIPS,"연구개발비 집행 전 소속 기관 내부 결재라인의 승인을 받았음을 보여주는 문서로, TIPS 등 R&D 과제에서 지출의 사전 적정성을 담보하는 공통 증빙이다.","정부 공통 표준서식 없음 — 소속 연구개발기관(대학·기업 등) 자체 양식 사용, 필요시 IRIS(iris.go.kr) 과제 등록정보와 함께 제출"
97,내부여비규정,TIPS-연구활동비(출장비),TIPS,"기관이 자체적으로 정한 출장여비 지급기준(일비·숙박비·교통비 한도 등)으로, 이 규정에 따라 출장비를 산정했는지 확인하는 근거 문서다.","정부 공통 표준서식 없음 — 소속 연구개발기관(대학·기업 등) 자체 양식 사용, 필요시 IRIS(iris.go.kr) 과제 등록정보와 함께 제출"
98,출장지 카드매출전표,TIPS-연구활동비(출장비),TIPS,출장 현지에서 연구개발비 카드로 결제한 교통비·숙박비 등의 매출전표다.,국세청 홈택스(hometax.go.kr) — 전자세금계산서 조회·매입매출 확인
99,출입국 확인 서류,TIPS-연구활동비(출장비),TIPS,국외 출장 시 여권 출입국 도장이나 출입국사실증명서 등 실제 출국·입국 사실을 증명하는 서류다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
100,기술도입계약서,TIPS-외부 전문기술 활용비,TIPS,외부로부터 기술을 도입할 때 도입 범위·대가·조건을 정한 계약서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
101,기술검수조서,TIPS-외부 전문기술 활용비,TIPS,도입한 기술이 계약 내용대로 이전·구현되었는지 검수한 결과를 기록한 조서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
102,전문가 자문확인서,"TIPS-외부 전문기술 활용비, 종합사업관리비",TIPS,외부 전문가로부터 자문을 받은 사실(일시·내용·자문료)을 확인하는 서류다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
103,연구개발서비스 결과서,TIPS-외부 전문기술 활용비,TIPS,외부 연구개발서비스 기관에 의뢰한 시험·분석·개발 등의 결과를 정리한 보고서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
104,지식재산 창출 관련 결과보고서,TIPS-지식재산 창출 활동비,TIPS,특허·표준 정보의 조사·분석이나 지재권 확보전략 수립 활동의 결과를 정리한 보고서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
105,자체규정,"TIPS-연구실 운영비, 해외연구자유치지원비",TIPS,"연구실 운영비의 사무용 기기·SW 계상, 해외연구자 지원금 지급 등을 기관이 자체적으로 정한 내부 규정이다.","정부 공통 표준서식 없음 — 소속 연구개발기관(대학·기업 등) 자체 양식 사용, 필요시 IRIS(iris.go.kr) 과제 등록정보와 함께 제출"
106,회의록,TIPS-회의비,TIPS,"회의(세미나)의 목적·일시·장소·참석자·논의 내용을 기록한 문서로, 사전 내부결재와 함께 회의비 집행의 필수 증빙이다.","정부 공통 표준서식 없음 — 소속 연구개발기관(대학·기업 등) 자체 양식 사용, 필요시 IRIS(iris.go.kr) 과제 등록정보와 함께 제출"
107,사용계약기간 최소단위 증명서류,TIPS-소프트웨어 활용비,TIPS,"TIPS 과제 수행을 위해 구입하는 소프트웨어는 월 단위가 아니라 연 단위 등 통상적인 최소 계약단위 라이선스로 계약하는 것이 원칙이며, 이를 증명하는 서류다. 지나치게 짧은 단위로 분할 계약 시 매 갱신마다 행정 절차가 발생하고 과제 종료 후 자동 갱신·무단 사용 우려가 있으며, 연구개발기간을 초과하는 단위로 일괄 결제 시 미사용 기간의 비용까지 선지급되는 문제가 있어 최소 계약단위를 원칙으로 한다(집행기준 참고).",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
108,교육비수납영수증,TIPS-연구인력 지원비,TIPS,"TIPS 연구인력 지원비 중 교육훈련비 집행 시 교육기관에 납부한 교육비의 영수증이다. 특정 지정 교육기관은 없으며 과제와 직접 관련된 기술·경영 교육이면 인정된다(직무교육기관의 기술경영 과정, 대학 산학협력단의 전공심화과정, 정부출연연구기관 부설 교육원의 실무교육 등).",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
109,교육수료증,TIPS-연구인력 지원비,TIPS,"교육과정을 수료했음을 증명하는 서류다. 과제 수행에 직접 관련된 기술·경영 교육의 수료증이 해당하며, 고용보험 환급이 가능한 범용 직무교육이나 학위과정은 인정되지 않는다(집행기준 참고).",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
110,지출결의서,"TIPS-연구인력 지원비, TIPS-공통(일반 집행기준)",TIPS,"지출 항목·금액·사유에 대한 내부 승인 절차를 거쳤음을 보여주는 회계 서식으로, 야근식대 등 소액·정형화된 지출의 대표 증빙이다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
111,초과근무내역 확인서류,TIPS-연구인력 지원비,TIPS,"야근(특근) 식대 지급의 근거가 되는, 실제 초과근무를 했는지 보여주는 근태기록이다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
112,지원 대상자 자격요건 확인서,TIPS-해외 연구자 유치 지원비,TIPS,"해외 연구자가 TIPS 해외 연구자 유치 지원비를 받기 위한 지원요건 3가지를 확인하는 서류다. 지원요건은 ① 전체 연구개발과제기간 중 6개월 이상 국내에 거주하며 연구개발과제에 참여할 것, ② 지원 대상자가 해당 과제의 참여연구자 또는 연구개발기관 장과 6촌 이내 혈족 또는 4촌 이내 인척 관계가 아닐 것, ③ 연구개발기관의 자체규정에 따른 해외연구자 유치 절차를 거칠 것 — 세 가지다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
113,연구인프라 조성 자체계획 내부문서,TIPS-종합사업관리비,TIPS,연구인프라 조성 등 종합적 사업관리 활동을 위해 기관이 자체적으로 수립한 계획 문서다.,"정부 공통 표준서식 없음 — 소속 연구개발기관(대학·기업 등) 자체 양식 사용, 필요시 IRIS(iris.go.kr) 과제 등록정보와 함께 제출"
114,논문 게재 정보 서류,TIPS-그 밖의 비용,TIPS,논문 게재료 집행 시 게재 학술지·논문 정보를 확인하는 서류다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
115,청구서,TIPS-그 밖의 비용,TIPS,세금·공과금 등 정형화된 청구 내역이 담긴 고지서·청구서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
116,일용직 활용 확인서,TIPS-그 밖의 비용,TIPS,일용직 인력을 실제로 활용했음을 확인하는 서류. 일용직 인건비성 비용은 인건비가 아닌 '그 밖의 비용'으로 계상된다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
117,참여연구자 기여도 평가서류,TIPS-연구수당,TIPS,"연구수당 지급을 위해 참여기간·계상률과 함께 연구자별 기여도를 평가한 서류로, 1인당 지급률(수정인건비 대비 70% 초과 불가) 산정 근거가 된다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
118,지급신청서,TIPS-연구수당,TIPS,연구수당을 지급받기 위해 연구자가 작성·제출하는 신청서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
119,내부 품의서,TIPS-연구수당,TIPS,연구수당 지급에 대한 소속 기관 내부 결재(품의) 문서다.,"정부 공통 표준서식 없음 — 소속 연구개발기관(대학·기업 등) 자체 양식 사용, 필요시 IRIS(iris.go.kr) 과제 등록정보와 함께 제출"
120,국제공동연구개발비 사용 계약서,TIPS-국제공동연구개발비,TIPS,국외 공동연구기관과 국제공동연구개발비의 사용 조건·범위를 정한 계약서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
121,국외기관 자체정산결과보고서,TIPS-국제공동연구개발비,TIPS,국외 공동연구기관이 자체적으로 정산한 비용 사용 결과를 국내 주관기관에 보고하는 문서다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
122,전자세금계산서,"지급수수료-멘토링비, TIPS-공통(일반 집행기준)",7개 패키지 공통 + TIPS,"국세청 홈택스를 통해 발급·전송되는 세금계산서로, TIPS 공통기준상 10만원 이상 지출 시 전자세금계산서 또는 신용카드 사용이 원칙이다. 멘토링비는 발급이 불가능한 개인 멘토에 한해 입금확인증으로 대체한다.",국세청 홈택스(hometax.go.kr) — 전자세금계산서 조회·매입매출 확인
123,연구장비 실물 사진,TIPS-공통(일반 집행기준),TIPS,"구입·설치한 연구장비의 실물을 촬영한 사진으로, 3천만원 이상 장비의 구축 후 등록 시 함께 첨부된다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
124,변경 사유·내용 제출서류(사전승인 신청),TIPS-공통(사전승인 필요 사항),TIPS,"연구개발비 총액 변경 등 사전승인이 필요한 사항 발생 시, 변경 사유와 내용을 전문기관·업무지원기관에 제출하는 신청 서류로, 통상 15일 이내 승인 여부가 통보된다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
