구분,#,비목 이름,패키지명,정의,증빙서류,집행기준
표B,40,TIPS - 연구활동비(지식재산 창출 활동비),TIPS,"기술·특허·표준 정보 조사·분석, 원천·핵심특허 확보전략 수립 등 지식재산 창출 활동 비용","내부결재문서, 카드매출전표 또는 계좌이체증명, 지식재산 창출 관련 결과보고서",국가연구개발사업 관련 지식재산권의 출원·등록·유지 비용은 불인정(간접비 영역)
표B,41,TIPS - 연구활동비(연구실 운영비),TIPS,"영리기관은 소모성 비용 계상 불가. 단 사무용 기기·SW, 냉난방·청결 유지비용은 계획서 작성 및 승인 시 계상 가능. 사무용품비는 무관하게 사용 가능","거래명세서, 구매의뢰서, 자체규정, 카드매출전표 또는 계좌이체증명, 계약서(해당시), 검수(설치)완료 확인서","영리기관 소모성 비용 불인정(사무용품 제외), 계획서 미첨부(또는 무승인) 비용 불인정"
표B,42,TIPS - 연구활동비(회의비),TIPS,회의장 임차료·속기료·통역료 또는 회의비 등 회의·세미나 개최 비용. 다과·식비 실소요 산정(1인 1식 한도 있음),"내부결재문서, 견적서, 카드매출전표 또는 계좌이체증명, 회의록(목적·일시·장소·참석자·내용)","사전 내부결재·회의록 없는 회의비 불인정, 주류 등 유흥성 경비 불인정, 내부직원 간 식대 및 1인 1식 한도 초과분 불인정"
표B,43,TIPS - 연구활동비(소프트웨어 활용비),TIPS,과제 수행을 위한 소프트웨어의 구입·설치·임차·사용대차 비용 또는 DB·네트워크 이용료. 최소 사용단위 라이선스 계약 원칙,"내부결재문서, 거래명세서, 계약서, 카드매출전표 또는 계좌이체증명, 사용계약기간 최소단위 증명서류, 검수(설치)완료 확인서","과제 종료 2개월 전까지 사용계약 미체결 시 불인정, 사용계약기간이 연구개발기간 초과 시 불인정"
표B,44,TIPS - 연구활동비(연구인력 지원비),TIPS,"과제 수행과 직접 관련된 교육·훈련 비용, 학회·세미나 참가비, 야근(특근) 식대(1인 1일 1만원 이내)","교육훈련비: 내부결재문서, 교육비수납영수증, 교육수료증 등 / 학회·세미나: 참가비 영수증 / 야근식대: 지출결의서, 초과근무내역 확인서류","과제 무관 능력개발 교육 불인정, 고용보험 환급가능 교육비 불인정, 학위과정·논문지도비 불인정, 초과근무 미확인 식대 불인정"
표B,45,TIPS - 연구활동비(해외 연구자 유치 지원비),TIPS,해외 연구자의 국내 유치에 필요한 장려금·체재비 등,"내부결재문서, 계좌이체증명, 지원 대상자 자격요건 확인서, 자체규정",지원요건: ① 전체 과제기간 중 6개월 이상 국내 거주·참여 ② 참여연구자·기관장과 6촌 이내 혈족 또는 4촌 이내 인척 관계 아닐 것 ③ 기관 자체규정에 따른 절차 이행 — 3가지 요건 미충족 시 불인정
표B,46,TIPS - 연구활동비(종합사업관리비),TIPS,연구인프라 조성 등 종합적 사업관리 관련 비용,"연구인프라 조성 자체계획 내부문서, 카드매출전표 또는 계좌이체증명, 거래명세서, 자문확인서",일반기준 적용
표B,47,TIPS - 연구활동비(그 밖의 비용),TIPS,"문헌구입비, 논문 게재료, 인쇄·복사비, 각종 세금·공과금, 우편·택배비, 수수료, 일용직 활용비 등 과제 직접 관련 기타 비용","항목별 상이: 논문 게재료(논문정보 서류), 문헌·인쇄물(거래명세서·검수확인서), 세금·공과금(청구서), 일용직(일용직 활용 확인서) 등","신문구독료·명함제작비·세차비·주유비 등 개인·기관운영성 경비 불인정, 선물(기념품) 구입비 불인정(예외 있음)"
표B,48,TIPS - 연구수당,TIPS,"해당연도 수정인건비 합의 20% 이내 계상, 참여기간·계상률·기여도 평가 근거로 지급","참여연구자 기여도 평가서류, 지급신청서, 계좌이체증명, 관련 내부 품의서","승인 계상액 초과 사용 불인정, 참여연구자 1인 70% 초과 지급 불가, 사후평가 극히불량·중단 판정 시 불인정"
표B,49,TIPS - 위탁연구개발비,TIPS,주관연구개발기관이 과제 일부를 위탁할 때 위탁연구개발기관에 지급하는 비용. 직접비(위탁연구개발비 제외)의 40% 초과 계상 불가,각 세목 증빙서류 준용,"위탁과제 기간 이후 집행 불인정, 원계획의 20% 이상 증액 시 사전승인 필요"
표B,50,TIPS - 국제공동연구개발비,"TIPS(2026년 개정안 신설, 2024·2025년판에는 없음)",국외기관과의 국제공동연구개발 수행에 사용하는 비용,"계좌이체 증명, 국제공동연구개발비 사용 계약서, 국외기관 자체정산결과보고서",일반기준 적용
표B,51,TIPS - 간접비(총괄),TIPS,영리기관은 직접비의 10% 이내 계상. 비영리기관은 고시비율(5~17%)에 따름,"영리기관: 카드매출전표 또는 계좌이체증명, 관련문서 / 비영리기관: 해당 없음","최초협약예산 초과 집행 불가, 영리기관의 간접비 일괄 흡수 지출 불인정"
표B,52,TIPS - 간접비(인력지원비),TIPS,지원인력 인건비(연구관리 전문인력 등)와 연구개발능률성과급,간접비(총괄) 증빙 공통 적용,간접비(총괄) 불인정 기준 공통 적용
표B,53,TIPS - 간접비(연구지원비),TIPS,"기관공통지원경비, 사업단·연구단 운영비, 연구실 안전관리비, 연구보안관리비, 연구윤리활동비, 연구개발준비금 등",간접비(총괄) 증빙 공통 적용,간접비(총괄) 불인정 기준 공통 적용
표B,54,TIPS - 간접비(성과활용지원비),TIPS,"과학문화활동비, 지식재산권 출원·등록비, 기술창업 출연·출자금, 기술개발 결산·평가 비용",간접비(총괄) 증빙 공통 적용,주관연구개발기관 이외 개인명의 지식재산권 출원·등록비 불인정
표B,55,TIPS - 공통(일반 집행기준),TIPS,연구개발비 전 비목에 적용되는 집행 방법·기간·증빙 원칙(비목은 아님),"전자세금계산서, 지출결의서, 연구장비 실물 사진 등","10만원 이상 집행 시 전자세금계산서 또는 신용카드 원칙, 3천만원 이상 장비는 구축 후 1개월 내 등록, 협약기간 종료일까지 집행 원칙(일부 항목 예외)"
표B,56,TIPS - 공통(사전승인 필요 사항),TIPS,연구개발비 총액 변경 등 사전승인이 필요한 6개 항목(비목은 아님),변경 사유와 내용을 전문기관·업무지원기관에 제출,"무승인 변경 집행 시 해당 비목 불인정 기준 적용, 승인 여부는 15일 이내 통보"
